CIA,Bloque,PAD,POZO,ETAPA,CAUDAL PROMEDIO(BPM),PRESION PROMEDIO (PSI),CFR,CLUSTER,DISPAROS,MPA I,TAPON (MTS),ISIP POST
HASA,LOMA CAMPANA,LC319,LLL-1786(h),4,"58,0",11010,"5,8",8,24,FLUIDO,6397,7234
HASA,LOMA CAMPANA,LC319,LLL-1786(h),5,"60,6",11170,"6,7",8,24,FLUIDO,6349,6809
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),12,"61,5",10910,"5,0",8,24,,6272,7309
HASA,LOMA CAMPANA,LC319,LLL-1786(h),6,"62,1",11114,"5,8",8,24,FLUIDO,6301,6943
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),3,"63,0",10855,"7,5",8,24,FLUIDO,7538,6882
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),8,"63,0",11051,"5,8",8,24,,6432,6553
HASA,BANDURRIA SUR,LCAV21,LCav-854(h),6,"63,0",11097,"8,3",10,30,FLUIDO,5627,7150
HASA,LOMA CAMPANA,LC319,LLL-1783(h),3,"64,0",10630,"5,0",8,24,FLUIDO,7134,6827
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),4,"64,0",10920,"5,8",8,24,FLUIDO,7595,6818
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),26,"64,0",11010,"5,8",8,24,FLUIDO,6254,6469
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),5,"65,2",10850,"5,8",8,24,,7547,6706
HASA,LA AMARGA CHICA,LACH135,LACh-533(h),11,"66,0",10915,"5,8",10,30,,5763,6370
HASA,LOMA CAMPANA,LC319,LLL-1783(h),4,"66,0",11017,"5,8",8,16,FLUIDO,7086,7103
HASA,LOMA CAMPANA,LC319,LLL-1785(h),6,"66,2",10976,"6,7",8,24,FLUIDO,6497,6872
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),16,"66,4",10932,"5,8",8,24,,6730,6170
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),3,"66,5",10760,"6,7",8,24,,7643,6801
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),2,"67,0",10930,"6,7",8,24,FLUIDO,7578,6798
HASA,BANDURRIA SUR,LCAV21,LCav-854(h),2,"67,0",10960,"5,8",10,30,CLEAN SWEEP,5867,6955
HASA,LOMA CAMPANA,LC319,LLL-1783(h),8,"67,0",11014,"5,0",8,24,FLUIDO,6894,6752
HASA,LOMA CAMPANA,LC319,LLL-1785(h),39,"67,0",11020,"4,2",10,30,FLUIDO,4613,6761
HASA,LOMA CAMPANA,LC319,LLL-1785(h),7,"67,0",11030,"5,8",8,24,FLUIDO,6449,7091
HASA,BANDURRIA SUR,LCAV21,LCav-854(h),5,"67,0",11089,"5,0",10,30,CORTA ARENA,5687,7375
HASA,LOMA CAMPANA,LC319,LLL-1783(h),5,"67,0",11120,"5,0",8,16,FLUIDO,7038,6814
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),15,"67,2",10939,"5,8",8,24,,6778,6190
